height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
179,2,8,35,8,35,3,1,0,0,0.75,Disagree,8,Better off,Having children later in her career,1,2,5,400,Male
183,2,10,35,9,10,2,1,0,0,0.3,Agree,8,Better off,Having children later in her career,3,3,5,500,Male
180,2,14,35,8,15,3,1,0,0,0.2,Disagree,7,Better off,Having children later in her career,2,3,5,0,Male
168,1,1,40,8,4,3,1,0,0,1,Agree,4,Better off,Having children later in her career,4,2,5,85,Female
178,0,0,15,7,4,1,1,0,0,1,Agree,9,Better off,Having children later in her career,2,2,1,100,Male
1.65,4,2,40,6,40,3,1,0,0,1,Disagree,10,Better off,Having children later in her career,4,4,5,200,Female
165,1,20,35,7,367,5,1,0,0,1,Agree,4,Worse off,Having children later in her career,5,5,5,100,Female
158,2,4,56,8,25,4,0,1,0,1,Disagree,8,Worse off,Having children later in her career,4,4,4,400,Female
168,1,7,14,7,80,2,0,1,0,1,Disagree,10,Worse off,Having children later in her career,3,2,5,164,Female
183,2,7,20,7,25,3,0,1,0,1,Disagree,8,Better off,Having children later in her career,3,2,3,500,Male
158,2,2,40,7,25,2,0,1,0,1,Disagree,8,Worse off,Having children later in her career,3,2,5,1000,Female
160,2,2,30,10,30,3,0,1,0,1,Agree,9,Better off,Having children later in her career,2,3,3,250,Female
179,0,2,6,6,35,3,0,1,0,1,Disagree,8,Better off,Having children early on in her career,3,2,4,700,Male
160,2,3,100,8,20,2,0,1,0,0,Disagree,6,Worse off,Having children later in her career,2,2,3,20,Female
173,1,2,10,7,20,1,0,1,0,1,Agree,8,Worse off,Having children later in her career,3,3,3,50,Female
179,1,2.5,65,7,26.6,2,0,1,0,1,Disagree,10,Better off,Having children later in her career,3,2,2,350,Male
177,2,4,70,6.5,0,2,0,1,0,1,Agree,7,Worse off,Not having children at all,3,1,3,560,Male
183,2,3,56,7,20,2,0,1,0,1,Disagree,10,Better off,Having children later in her career,4,2,4,821,Male
178,1,2,20,5,25,3,0,1,0,0.6,Disagree,9,Worse off,Not having children at all,5,5,5,50,Male
183,2,12,40,8,40,3,0,1,0,-1,Disagree,8,Worse off,Not having children at all,3,2,4,300,Male
185,3,2,30,7,18,3,0,1,0,1,Disagree,10,Worse off,Not having children at all,4,5,4,358,Male
187,2,3,20,7,25,3,0,1,0,0.53,Agree,4,Better off,Not having children at all,2,2,5,300,Male
180,2,7,40,5,20,1,0,1,0,0.9,Disagree,10,Worse off,Having children later in her career,3,1,5,1000,Male
157,1,3,56,8,10,2,0,1,0,0.7,Agree,7,Worse off,Having children early on in her career,4,4,4,1260,Male
162,2,1.5,40,6,140,3,0,1,0,1,Agree,6,Better off,Having children later in her career,4,3,2,612,Female
180,2,7,6,7,13,2,0,1,0,1,Agree,9,Better off,Having children later in her career,4,3,5,2000,Male
168,2,2,5,7,20,2,0,1,0,1,Agree,7,Worse off,Having children later in her career,5,4,4,335,Female
162,2,3,6,7,100,3,0,1,0,1,Agree,9,Worse off,Not having children at all,4,5,5,560,Female
190,3,2,9,6,15,3,0,1,0,1,Disagree,8,Worse off,NA,2,1,5,70,Male
165,2,5,30,8,10,2,0,1,0,1,Disagree,9,Worse off,Having children later in her career,3,4,5,1040,Female
180,1,10,60,7,12,3,0,1,0,1,Disagree,10,Better off,Not having children at all,4,1,3,900,Male
178,2,7,28,8,20,2,0,1,0,0.5,Agree,6,Better off,Having children early on in her career,4,1,3,1300,Male
179,4,10,35,7,40,2,0,1,0,0.7,Disagree,7,Worse off,Having children later in her career,2,1,5,0,Male
196,3,0,110,6,23,4,0,1,0,1,Agree,9,Better off,Having children later in her career,4,3,4,300,Male
158,1,2,70,10,5,3,0,1,0,1,Disagree,9,Better off,Having children later in her career,4,3,4,0,Female
180,1,3,80,8,15,3,1,1,0,1,Disagree,10,Better off,Having children later in her career,4,5,5,50,Male
162,2,2,10,8,100,2,1,1,0,-1,Agree,10,Better off,Having children later in her career,4,2,2,1000,Female
164,0,0,28,8,47,4,1,1,0,-0.26,Disagree,8,Better off,Having children later in her career,4,2,5,712,Female
158,2,0,30,8,12,2,1,1,0,1,Disagree,8,Better off,Having children early on in her career,2,4,5,266,Female
186,2,0,35,8,75,2,1,1,0,0.8,Disagree,10,Worse off,Having children later in her career,4,5,4,3,Male
188,3,0,70,7,15,3,1,1,0,1,Disagree,10,Better off,Not having children at all,3,2,5,510,Male
193,2,2,70,7,45,2,1,1,0,1,Disagree,10,Better off,Not having children at all,4,1,5,800,Male
166,1,3,20,7,100,2,1,1,0,1,Disagree,9,Better off,Having children early on in her career,5,5,5,1000,Female
178,2,0,50,7,2,4,1,1,0,-0.33,Disagree,9,Better off,Having children later in her career,3,5,3,700,Male
163,3,2,20,7,130,3,1,1,0,0.8,Disagree,7,Better off,Not having children at all,3,3,5,1087,Female
175,5,2,15,8,12,2,1,1,0,0.4,Disagree,7,Better off,Having children later in her career,3,3,5,1412,Male
150,2,4,45,6,2.66,4,1,1,0,0.5,Disagree,4,Better off,Having children later in her career,5,5,4,445,Female
162,2,3,28,8,30,2,1,1,0,0,Disagree,10,Better off,Having children later in her career,4,4,5,949,Female
171,2,1,50,7,4,3,1,1,0,1,Disagree,10,Worse off,Not having children at all,2,3,5,1000,Male
165,1,7.5,21,7,75,1,1,1,0,0.8600000000000001,Disagree,9,NA,NA,3,2,5,694,Female
175,4,10,20,7,15,3,1,1,0,1,Disagree,8,Better off,Having children early on in her career,4,3,5,150,Male
173,2,2,10,6,65,3,1,1,0,0.8750000000000001,Disagree,9,Better off,Having children later in her career,3,3,5,567,Female
168,7,10,15,6,40,3,1,1,0,1,Disagree,9,Worse off,Not having children at all,4,5,5,0,Female
153,3,0,21,8,5,2,1,1,0,0.8,Agree,10,Better off,Having children later in her career,3,3,4,1000,Female
160,1,3,18,6.5,40,2,1,1,0,1,Agree,9,Worse off,Having children later in her career,4,3,5,20,Female
162,1,0,28,8.5,20,2,1,1,0,0.54,Agree,8,Better off,Not having children at all,4,4,3,2700,Female
170,1,1,15,7,50,2,0,0,1,1,Disagree,8,Better off,Not having children at all,4,2,5,645,Female
175,3,5,30,8,5,3,0,0,1,0.8,Disagree,8,Better off,Having children early on in her career,5,4,5,434,Male
185,2,5,50,7,14,1,0,0,1,1,Disagree,7,Worse off,Not having children at all,4,2,5,600,Male
177,2,0,5,8,25,2,0,0,1,1,Agree,9,Worse off,Having children later in her career,4,3,5,900,Female
167,3,7,20,7,90,2,0,0,1,0.9,Disagree,7,Better off,Having children later in her career,2,1,4,1000,Female
188,3,6,30,7,15,4,0,0,1,1,Disagree,8,Worse off,Having children later in her career,3,4,5,687,Male
166,1,2,28,7,320,2,0,0,1,1,Disagree,2,Better off,Having children later in her career,4,4,4,200,Female
183,2,3,30,10,10,3,0,0,1,0.6,Disagree,8,Worse off,Having children later in her career,4,1,4,256,Male
164,1,5,20,7,5,2,0,0,1,1,Disagree,9,Better off,Having children later in her career,5,3,2,50,Female
179,4,1.5,50,6,25,1,0,0,1,1,Disagree,8,Better off,Not having children at all,3,2,4,616,Male
191,3,0.5,20,7,45,1,0,0,1,-0.16,Disagree,8,Worse off,Having children later in her career,4,3,4,220,Male
178,2,5,21,6.5,0,3,0,0,1,1,Agree,4,Better off,Having children later in her career,3,2,3,1,Male
191,1,5,20,7,29,2,0,0,1,1,Disagree,10,Better off,Having children later in her career,3,1,5,895,Male
187,2,3,20,7,20,1,0,0,1,1,Agree,8,Better off,Not having children at all,3,2,4,400,Male
190,2,5,50,7,25,2,0,0,1,1,Agree,8,Better off,Not having children at all,4,4,4,437,Male
172,2,3,100,8,70,1,0,0,1,1,Disagree,7,Worse off,Not having children at all,3,1,5,274,Female
188,1,15,100,7,8,4,0,0,1,1,Disagree,10,Better off,Having children later in her career,5,3,5,200,Male
178,2,3,30,7,13,3,0,0,1,1,Disagree,8,Better off,Not having children at all,3,4,5,770,Male
170,3,4,40,8,70,2,0,0,1,1,Agree,8,Worse off,Having children later in her career,2,4,4,900,Female
186,2,10,70,8,1.88,3,0,0,1,0.75,Disagree,8,Worse off,NA,3,3,4,500,Male
200,2,5,25,7,20,2,0,0,1,1,Disagree,8,Better off,Having children later in her career,4,3,5,200,Male
164,2,0,42,7,2,2,0,0,1,0.6699999999999999,Agree,7,Better off,Having children early on in her career,2,3,4,1432,Male
